Ano,Mês,Dia
2018,9,799
2018,9,902
2018,9,817
2018,9,695
2018,9,0
2018,9,732
2018,9,897
2018,9,786
2018,9,814
2018,9,643
2018,9,757
2018,9,853
2018,9,833
2018,9,809
2018,9,678
2018,9,739
2018,9,877
2018,9,815
2018,9,793
2018,9,592
2018,10,723
2018,10,855
2018,10,827
2018,10,803
2018,10,579
2018,10,645
2018,10,862
2018,10,781
2018,10,716
2018,10,0
2018,10,0
2018,10,711
2018,10,775
2018,10,776
2018,10,685
2018,10,725
2018,10,846
2018,10,767
2018,10,779
2018,10,586
2018,10,498
2018,10,550
2018,10,538
2018,11,489
2018,11,0
2018,11,707
2018,11,836
2018,11,831
2018,11,835
2018,11,674
2018,11,678
2018,11,859
2018,11,746
2018,11,0
2018,11,324
2018,11,710
2018,11,792
2018,11,801
2018,11,744
2018,11,583
2018,11,686
2018,11,778
2018,11,791
2018,11,716
2018,11,600
2018,12,592
2018,12,655
2018,12,668
2018,12,601
2018,12,383
2018,12,342
2018,12,414
2018,12,400
2018,12,307
2018,12,235
2018,12,122
2018,12,121
2018,12,141
2018,12,0
2018,12,0
2018,12,0
2018,12,0
2018,12,0
2018,12,0
2018,12,0
2018,12,0
2019,1,0
2019,1,0
2019,1,0
2019,1,0
2019,1,113
2019,1,111
2019,1,126
2019,1,111
2019,1,85
2019,1,117
2019,1,127
2019,1,157
2019,1,111
2019,1,114
2019,1,149
2019,1,156
2019,1,179
2019,1,188
2019,1,143
2019,1,215
2019,1,217
2019,1,190
2019,1,206
2019,2,189
2019,2,228
2019,2,205
2019,2,217
2019,2,209
2019,2,174
2019,2,219
2019,2,225
2019,2,246
2019,2,238
2019,2,215
2019,2,666
2019,2,837
2019,2,870
2019,2,874
2019,2,696
2019,2,812
2019,2,950
2019,2,873
2019,2,879
2019,3,542
2019,3,0
2019,3,0
2019,3,0
2019,3,603
2019,3,563
2019,3,789
2019,3,928
2019,3,870
2019,3,861
2019,3,699
2019,3,668
2019,3,0
2019,3,850
2019,3,876
2019,3,696
2019,3,0
2019,3,856
2019,3,822
2019,3,830
2019,3,687
2019,4,719
2019,4,808
2019,4,839
2019,4,791
2019,4,667
2019,4,703
2019,4,844
2019,4,811
2019,4,791
2019,4,568
2019,4,743
2019,4,865
2019,4,729
2019,4,0
2019,4,0
2019,4,660
2019,4,858
2019,4,812
2019,4,785
2019,4,672
2019,4,738
2019,4,874
2019,5,0
2019,5,805
2019,5,693
2019,5,780
2019,5,880
2019,5,971
